305750118295031808	Sun Feb 24 18:44:43 GMT 2013	KingCieran	#gottodance Wild G I am so surprised that there is no crack in the camera screen and the floor, I felt the kicks through the tv! :p ;)
305749881442664448	Sun Feb 24 18:43:46 GMT 2013	LollypopsLauren	would of rather watched 10 oaps doing the hokey kokey... what a load of crap #gottodance
305749954251587584	Sun Feb 24 18:44:04 GMT 2013	samnferxo	Wild G is sooooooooooo sick. You and your crew are sick #gottodance
305750184300797953	Sun Feb 24 18:44:59 GMT 2013	HeidiOliver2012	This is what I've been waitin 4 #WildG not only can he dance but damn he's fine. #GotToDance #Winner
305750694198145025	Sun Feb 24 18:47:00 GMT 2013	allanaigh	Love Aston on #gottodance
305749374615564288	Sun Feb 24 18:41:46 GMT 2013	mitchellturnerr	This warren bloke is mad #GotToDance
305749199838920704	Sun Feb 24 18:41:04 GMT 2013	HuMpY_DuMpYy12	How can he dance so good n hes so young #gottodance #rory
305749327270252544	Sun Feb 24 18:41:34 GMT 2013	georgiathomas_1	Wild G is so amazing! Love watching him perform #gottodance
305750995202371585	Sun Feb 24 18:48:12 GMT 2013	robynraex	Wild G is absolutely sick #GotToDance
305750185068355584	Sun Feb 24 18:44:59 GMT 2013	sevendevilsss	That was shite, he looked like a tool! #GotToDance
305750664833814529	Sun Feb 24 18:46:53 GMT 2013	SoFlyLivs	Kimberly dont understand his type of dancing. #gottodance
305750545241624576	Sun Feb 24 18:46:25 GMT 2013	fashionandtingz	I'm just wondering what happened to Ashley Banjo's hair. #GotToDance
305750596810592256	Sun Feb 24 18:46:37 GMT 2013	jackball92	#GotToDance with @alpt_92
305750712741154817	Sun Feb 24 18:47:05 GMT 2013	Clockzmosis	JHEEEZE! IMD LETS GO!!!!!!!!!!! #GotToDance
305750195084357632	Sun Feb 24 18:45:01 GMT 2013	ilovecarla999	Nice one loved it wild g man you went over the top (in a good way g) #gottodance
305750237518110720	Sun Feb 24 18:45:11 GMT 2013	Handesty88	Nah he was scaring me with that performance - wasn't blinkin #gottodance #WildG
305749042967744513	Sun Feb 24 18:40:27 GMT 2013	Christine_Ohare	The dancers on #GotToDance are insane tonight! #GTD
305750688007323648	Sun Feb 24 18:46:59 GMT 2013	RubyInNewYork	The parents keep moaning about Davina reading the tweets, they need to get familiar with social media. #gottodance
305750414651957248	Sun Feb 24 18:45:54 GMT 2013	katiereedd	Absolutely bloody love #hashtap so funny haha!! #gottodance
305749833472417792	Sun Feb 24 18:43:35 GMT 2013	Kara_Amy	#GottoDance #wildG is amazing he has so much passion @GottoDance
305749852002852865	Sun Feb 24 18:43:39 GMT 2013	VexInTheCityUK	Wild G woooooowwww I was holding back tears the power and the story he tells in his dance #GotToDance
305750610987319297	Sun Feb 24 18:46:40 GMT 2013	kaddsbreezy_xo	#gottodance wooo! That performance killed it
305751017016918017	Sun Feb 24 18:48:17 GMT 2013	Clockzmosis	Was shocked when I found out Omar & Warren did their choreo #GotToDance
305749974371680257	Sun Feb 24 18:44:09 GMT 2013	Earlsparky	@Stacey_W86 great wasnt he,ye cant beat great shows on a sunday #gottodance #thevoice #dancingonice my sunday is sorted! :-)
305748912008990722	Sun Feb 24 18:39:55 GMT 2013	kaneygayther	@GotToDance_Sky1 IMD WOW, increible, amazing how a street dance crew can be so inspiring un-believeable iloveyouu guys  <3:') xo #gottodance
305750079631929344	Sun Feb 24 18:44:34 GMT 2013	Carmen_x_	#gottodance Such an inspiring person, bought tears to my eyes ;')
305750111655436288	Sun Feb 24 18:44:41 GMT 2013	hey_mikkki	That guys rubbish #gottodance
305749998107250688	Sun Feb 24 18:44:14 GMT 2013	stuart_g_peters	What was that? #wildg #weirdo #gottodance
305749126455382016	Sun Feb 24 18:40:46 GMT 2013	JO_C_K_N	Good luck and enjoy tonight! @WildgStyle @Omar_RtrX ðŸ˜˜ðŸ‘?#gottodance
305748806291554304	Sun Feb 24 18:39:30 GMT 2013	JessiesJoobies	you smashed it rory!!! #gottodance #voterory
305750844693946368	Sun Feb 24 18:47:36 GMT 2013	_JoshuaKnox	OMG that Wild G thing was a massive cringefest, did I miss something? #GotToDance
305750879145967616	Sun Feb 24 18:47:44 GMT 2013	NadinePayneTMB	'Chocolate is a balanced diet' #hashtap #gottodance
305750041853820931	Sun Feb 24 18:44:25 GMT 2013	xxkatiexxscott	Wild G was siiiiick love it @GotToDance_Sky1 #gottodance , p.s hiya ast x
305750083813662720	Sun Feb 24 18:44:35 GMT 2013	ourlittlelifeUK	Stuffed after our sunday dinner watching #gottodance on @sky1insider
305750994921336833	Sun Feb 24 18:48:12 GMT 2013	quinlivan	Really surprised at Kimberly giving Wild G a Red Star #GotToDance
305749997507465216	Sun Feb 24 18:44:14 GMT 2013	biggins89	I will never EVER understand Crumping #gottodance #pish
305749360023568384	Sun Feb 24 18:41:42 GMT 2013	x_Hayleymay_x	"@allstreetdance: Ashley gives Rory a GOLD #GotToDance" @Official_Rory
305749396371406848	Sun Feb 24 18:41:51 GMT 2013	Clockzmosis	This Wild G vs IMD scope is interesting! good publicity for both in my opinion #GotToDance
305748981798010881	Sun Feb 24 18:40:12 GMT 2013	TylerTeCreator	Wild G #GotToDance
305750887303901184	Sun Feb 24 18:47:46 GMT 2013	PreetiVadgamaUK	#GotToDance Chachi pants doing a takeover
305750790180585472	Sun Feb 24 18:47:23 GMT 2013	Clockzmosis	This crew IMD gass me so much! #GotToDance
305748847815163905	Sun Feb 24 18:39:40 GMT 2013	gottodance22	back to #gottodance now woo :) for more dancing with #wildg and #IMD !! :) woo
305750124695531520	Sun Feb 24 18:44:44 GMT 2013	jevanlevy	I'm still trying to understand why Ashley Banjo thinks his name is @SiscoGomez out here! #GotToDance
305750001580113920	Sun Feb 24 18:44:15 GMT 2013	esther_howard	This guy is stupid good #GotToDance
305748981043048448	Sun Feb 24 18:40:12 GMT 2013	Katherine368	I didn't rate his audition so let's see. #Gottodance
305749963432919042	Sun Feb 24 18:44:06 GMT 2013	AMcG1880n	â€œ@princesswallis: Vote for my friends pls pls they rock #gottodance #GNomeâ€? @BobbyCNorris
305750060715610113	Sun Feb 24 18:44:29 GMT 2013	joanpeedah	#gottodance he dances with so much passion its unreal :-) xx
305750209990909952	Sun Feb 24 18:45:05 GMT 2013	Muffles1	Not fussed on this body popping dancing #gottodance
305750756756185089	Sun Feb 24 18:47:15 GMT 2013	chloegibbsxx	Why does davina need to read out the exclamation marks and the faces?! #gottodance
305750706223202305	Sun Feb 24 18:47:03 GMT 2013	TwitCelebGossip	#CelebPic : Aston Tonight ( @JLSOfficial ) His face is a picture! #GotToDance http://t.co/YkgPNI6A1K
305750735486849024	Sun Feb 24 18:47:10 GMT 2013	jbhawke	loving #GotToDance
305749015000141825	Sun Feb 24 18:40:20 GMT 2013	ibetamara	Ommmg I love #wildg #gottodance
305750708236455937	Sun Feb 24 18:47:04 GMT 2013	CupcakeClare89	@WildgStyle was amazing! and @Omar_RtrX is killing me on camera hahah GOOD LUCK!!!! Love and Kisses x #gottodance
305750548030828544	Sun Feb 24 18:46:25 GMT 2013	kaybar007	Everyone who watches this should go & see All Stars when it gets released in.May! http://t.co/M4MjfioDso #GetGlue #GotToDance
305750542611775488	Sun Feb 24 18:46:24 GMT 2013	tinyface	Lovvveee #gottodance Can I join #poison please?
305749091361644544	Sun Feb 24 18:40:38 GMT 2013	JessiesJoobies	well done rory!!! #rory #gottodance #voterory
305748773206896640	Sun Feb 24 18:39:22 GMT 2013	CaitlinMacd	keep this #hashtap trend going!! vote hashtap on Facebook 10 times for free at 7!! #hashtap #VoteForHashTap #gottodance
305749350171172864	Sun Feb 24 18:41:40 GMT 2013	__Courteney	COME ON WILD G!! #GotToDance
305749316377640960	Sun Feb 24 18:41:32 GMT 2013	Wallprice	I'm watching #GottoDance with 13 others on #GetGlue http://t.co/RkZ2t3rRzI
305750450039300096	Sun Feb 24 18:46:02 GMT 2013	kirstwah	Is it just me or did #wildg look like a drunk at a wedding??? #gottodance
305750619505971200	Sun Feb 24 18:46:42 GMT 2013	clayrebrain	I wanted #HashTap to win from their very first audition & I want them to win even more now! #GotToDance
305749904976908288	Sun Feb 24 18:43:52 GMT 2013	Katy_Short97	@GotToDance_Sky1 #wildg is good but will his students be better? #whoknows #gottodance
305750109356974080	Sun Feb 24 18:44:41 GMT 2013	_StaceyMcEvoy	RORY you little cutie! Little cool dude is amazinggggg! #swag #gottodance
305750802616684544	Sun Feb 24 18:47:26 GMT 2013	benthreadgold97	Wow WildG just done a rolly polly #mindblown #shit #rollypolly #GottoDance http://t.co/34h35gWyJq
305750851094462464	Sun Feb 24 18:47:38 GMT 2013	natalilly88	I'm guna text in to #gottodance with loads of kisses and the end just so Davina has to say 'kiss' over and over #annoying
305750858019250176	Sun Feb 24 18:47:39 GMT 2013	ibetamara	omgg #imd , I'm gassedddd #gottodance
305748981357621249	Sun Feb 24 18:40:12 GMT 2013	Nicole_Mauro_	Excited for IMD and Wild G #GottoDance http://t.co/nyM6mhAgPz
305750155913748480	Sun Feb 24 18:44:52 GMT 2013	Clockzmosis	I'm glad the judges can see Wild G is a pure guy you know! #GotToDance
305750122992660480	Sun Feb 24 18:44:44 GMT 2013	FayGeorgina	Loved the soundtrack but I think he did look tired unfortunately #GotToDance
305749081253347328	Sun Feb 24 18:40:36 GMT 2013	tayl0rth0mas10	Didn't know tempz was on #gottodance
305750140352864256	Sun Feb 24 18:44:48 GMT 2013	LALALAMBRIT	Don't get that guy #GotToDance
305750999061127168	Sun Feb 24 18:48:13 GMT 2013	_JoshuaKnox	Seriously. Me and Emma are cringing our faces off at this Wild G dancer #GotToDance
305749445398646786	Sun Feb 24 18:42:02 GMT 2013	DipDyedMelons	#wildg is such an amazing person! As always put together an amazing dance! #streetdancer #legend #gottodance
305749909699715073	Sun Feb 24 18:43:53 GMT 2013	Jackstephen8	I can do everything he just did. That is not dancing that was acting. Very simple at that. How can they go crazy for it #gottodance
305749465468375041	Sun Feb 24 18:42:07 GMT 2013	BillyCasss	Wild G is sick #gottodance
305751002257178625	Sun Feb 24 18:48:14 GMT 2013	roofer_00	IMD are cool as fuck! #GotToDance
305749266792587265	Sun Feb 24 18:41:20 GMT 2013	SOPHIERUCK8	Loved hash tap on #gottodance
305750062359801856	Sun Feb 24 18:44:30 GMT 2013	FarheenParkar	@GotToDance_Sky1 #gottodance Wild your amazing, so entertaining WOW! Love you!â™¥xx
305749833396932608	Sun Feb 24 18:43:35 GMT 2013	RameArtist	The way #WildG dances is inspirational, one of the main reasons I watch #GotToDance
